588
42
7
252000
[[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0.56,2.31,5.35,14.26,11.91,7.14,1.33],
[0.3,0.08,2.86,27.83,0.3,0.14,26.28],
[10.49,4.65,22.98,20.29,6.66,4.56,4.65],
[0.13,7.53,0.28,0.01,1.38,4.12,4.93],
[2.35,0.02,23.87,18.54,0.83,5.02,17.52],
[0.85,1.88,8.07,14.78,9.41,4.2,22.35],
[6,2.75,11.83,16.24,3.69,3.65,13.25],
[6.31,4.17,17.21,13.3,7.38,2.9,9.58],
[1.29,5.32,14.38,12.59,0.76,3.06,8.77],
[4,2.32,9.58,12.37,6.84,3.91,16.25],
[5.32,2.81,12.89,11.5,6.14,2.55,10.73],
[7.04,3.58,15.78,12.94,5.19,3.21,8.36],
[4.04,2.83,10.11,10.31,6.68,3.26,12.58],
[7.01,2.69,12.19,13.34,5.1,3.33,11.02],
[5.89,2.99,10.56,11.29,5.49,3.37,13.91],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[3.43,0.59,1.67,12.01,24.64,1.66,0.63],
[3.65,14.42,0.16,0.5,2.14,0.26,12.65],
[5.75,0.45,5.92,23.53,30.97,1.01,24.5],
[14.58,16.42,11.14,1.71,28.2,0.06,4.29],
[3.08,0.48,2.14,10.58,2.21,19.97,0.19],
[2.36,8.06,1.57,6.7,22.7,1.71,6.97],
[9.31,11.61,4.71,18.31,16.64,1.19,13.03],
[7.45,9.43,5.96,12.6,19.74,0.88,12.36],
[7.31,13.14,12.11,11.03,15.01,12.62,2.38],
[6.23,9.71,5.95,13.15,19.44,2.71,8.69],
[7.46,10.48,4.39,14.54,13.28,1.38,8.69],
[4.97,11.31,8.11,11.54,13.18,8.46,8.49],
[5.61,8.64,4.86,11.18,18.45,3.03,6.52],
[5.72,10.25,6.1,11.97,9.96,6.38,6.6],
[4.58,8.48,5.58,10.03,15.09,5.85,5.29],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,2.38,12.05,0.05,4.56,19.03,29.57],
[17.94,14.05,11.57,0.04,6.88,6.44,19.16],
[0.7,3.15,6.02,0.34,11.47,1.66,7.33],
[0.56,2.04,3.25,6.06,4.41,8.78,1.92],
[3.86,3.46,12.75,4.44,0.82,6.59,0.15],
[11.92,7.1,7.88,0.03,3.89,9.6,16.62],
[14.78,7.03,6.16,0.32,6.31,3.22,9.76],
[1.26,1.77,9.13,5.21,15.33,4.41,3.67],
[1.97,1.89,6.38,10.45,2.22,5.17,1.73],
[14.62,4.75,6.15,0.22,5.36,6.95,12.36],
[13.55,5.8,6.76,4.45,10.28,6.5,7.05],
[1.54,2.3,7.29,11.24,11.54,3.46,2.53],
[15.84,4.57,7.77,3.6,9.99,7.11,9.29],
[10.16,4.57,6.43,10.7,8.87,4.93,5.82],
[12.9,3.77,6.8,9.49,9.58,5.91,7.52],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[2.98,5.85,5.09,4.59,39.34,3.35,6.7],
[15.57,0.64,4.96,3.62,20.48,0.1,25.7],
[1.2,13.26,9.9,1.88,0.54,3.56,18.67],
[0.98,14.36,10.81,0.19,20.29,17.11,16.02],
[11.19,5.75,3.2,6.13,2.23,0.88,23.46],
[7.82,5.61,3.35,2.76,20.96,2.68,12.85],
[14.06,7.33,5.24,1.93,16.23,2.05,14.98],
[2.18,9.22,6.91,1.77,11.68,8.58,11.6],
[5.9,7.35,13.26,3.5,10.53,9.4,13.4],
[10.18,6.39,5.15,2.17,15.35,2.36,10.2],
[13.98,6.21,5.36,1.54,13.96,5.81,13.94],
[4.14,6.73,8.91,2.68,8.59,6.42,14.27],
[12.13,6.5,4.73,2.07,15.76,6.22,10.46],
[10.94,5.21,8.21,2.66,10.53,5.03,13.45],
[9.85,5.38,6.73,2.55,13.02,5.97,10.84],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[14.69,9.12,13.47,8.2,0.86,9.33,13.21],
[1.25,1.2,0.83,5.02,0.1,16.36,18.54],
[6.02,0.79,0.24,0.95,0.15,13.01,31.28],
[0.06,1.33,0.26,0.06,0.52,33.05,0],
[5.31,2.78,14.8,0.05,19.47,31.84,5.45],
[7.77,4.67,11.77,4.54,0.44,8.89,10.74],
[6.67,1.98,1.01,2.53,0.08,9.85,17.16],
[3.66,0.73,0.5,0.84,0.26,16.88,20.78],
[3.21,1.46,8.73,0.04,11.2,21.63,3.66],
[7.02,3.3,10.53,3.12,0.42,7.79,14.89],
[6.01,1.34,1.32,1.7,0.22,17.58,14.02],
[6.83,1.2,5.92,0.59,8.42,15.79,13.97],
[5.84,2.67,9.92,2.47,0.36,13.24,14.6],
[9.78,1.93,4.57,1.28,6.52,14.99,10.68],
[8.23,2.55,9.34,2,5.97,12.21,11.68],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[1.39,0.76,4.77,4.96,17.52,6.13,0.78],
[6.23,4.26,32.56,1.67,0.06,3.35,0],
[0.53,0.83,28.28,24.08,11.23,19.16,17.82],
[10.35,3.25,18.18,0.27,0.39,1.2,3.28],
[0.24,4.99,14.96,8.08,1.25,1.71,3.28],
[3.12,2.15,16.58,6.35,12.39,3.3,0.51],
[3.3,2.14,20.33,12.94,6.99,9.66,11.94],
[8.82,1.63,15.86,14.53,6.36,16.77,8.97],
[6,2.81,11.1,6.56,1.55,0.99,6.55],
[2.23,1.45,13.56,9.68,9.87,10.12,8.1],
[6.32,3.2,16.99,11.31,5.83,12.23,8.47],
[7.67,1.98,14.48,10.89,4.32,11.57,7.28],
[4.83,2.58,12.84,8.79,7.62,14.26,6.6],
[5.84,2.67,14.19,8.97,4.38,9.8,6.8],
[4.89,2.22,11.36,7.58,6.19,12.68,5.55],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[0,0,0,0,0,0,0],
[2.55,12.9,31.44,0.02,14.1,0.04,8.74],
[0.71,3.78,0,4.81,3.92,4.84,1.5],
[9.86,3.13,34.86,1.3,4.99,3.56,1.81],
[13.01,12.75,18.85,1.45,18.42,0.02,17.11],
[6.92,7.33,4.99,3.2,4.06,0.11,3.59],
[1.28,6.47,21.01,3.42,7.06,2.95,9.23],
[5.28,6.9,23.19,2.4,8.89,8.37,1.11],
[7.69,6.38,18.72,2.74,9.22,2.22,16.32],
[6.96,6.94,9.43,1.66,9.22,0.06,8.58],
